VideoStartTime: 00:00:00 07/10/2016
Direction,VideoPos,VideoSpeed,CountType,ObjectType,CountedTime
NORTHBOUND,36,2,STRAIGHT,CAR,2016-10-19 04:52:33
NORTHBOUND,38.3,2,RTURN,CAR,2016-10-19 04:52:33
NORTHBOUND,41.3,2,LTURN,CAR,2016-10-19 04:52:33
NORTHBOUND,44.3,2,UTURN,CAR,2016-10-19 04:52:34
NORTHBOUND,47.3,2,LTURN,BICYCLE,2016-10-19 04:52:34
NORTHBOUND,49.5,2,STRAIGHT,CAR,2016-10-19 04:52:34
NORTHBOUND,55.5,2,STRAIGHT,CAR,2016-10-19 04:52:34
NORTHBOUND,72,2,LTURN,CAR,2016-10-19 04:52:35
NORTHBOUND,76.5,2,STRAIGHT,CAR,2016-10-19 04:52:36
NORTHBOUND,80.3,2,RTURN,CAR,2016-10-19 04:52:36
NORTHBOUND,84.8,2,STRAIGHT,CAR,2016-10-19 04:52:36
NORTHBOUND,90.8,2,UTURN,CAR,2016-10-19 04:52:37
NORTHBOUND,93.8,2,PED,CAR,2016-10-19 04:52:37
NORTHBOUND,97.5,2,RTURN,CAR,2016-10-19 04:52:37
NORTHBOUND,100.5,2,STRAIGHT,CAR,2016-10-19 04:52:37
NORTHBOUND,103.6,2,LTURN,CAR,2016-10-19 04:52:37
NORTHBOUND,106.5,2,UTURN,CAR,2016-10-19 04:52:38
NORTHBOUND,109.5,2,PED,CAR,2016-10-19 04:52:38
NORTHBOUND,113.3,2,RTURN,CAR,2016-10-19 04:52:38
NORTHBOUND,117,2,STRAIGHT,CAR,2016-10-19 04:52:38
NORTHBOUND,120,2,LTURN,CAR,2016-10-19 04:52:39
NORTHBOUND,123.8,2,LTURN,BICYCLE,2016-10-19 04:52:39
NORTHBOUND,129,2,STRAIGHT,BICYCLE,2016-10-19 04:52:39
NORTHBOUND,135,2,RTURN,CAR,2016-10-19 04:52:39
NORTHBOUND,141.8,2,STRAIGHT,TRUCK,2016-10-19 04:52:40
NORTHBOUND,149.3,2,RTURN,CAR,2016-10-19 04:52:40
NORTHBOUND,155.3,2,STRAIGHT,TRUCK,2016-10-19 04:52:41
NORTHBOUND,164.3,2,RTURN,TRUCK,2016-10-19 04:52:41
NORTHBOUND,172.5,2,STRAIGHT,CAR,2016-10-19 04:52:42
NORTHBOUND,177,2,LTURN,CAR,2016-10-19 04:52:42
